customer_id,gender,senior_citizen,tenure_months,contract_type,payment_method,monthly_charges,total_charges,internet_service,support_tickets,paperless_billing,churn,churn_numeric,tenure_group,charge_per_month_tenure,churn_probability,risk_segment,revenue_at_risk
CUST-0057,Female,0,41,Two year,Bank transfer (automatic),86.35,3601.63,Fiber optic,1,Yes,Yes,1,25-48 months,2.11,0.318,Medium Risk,329.51
CUST-0058,Male,0,47,Two year,Credit card (automatic),64.19,3114.78,DSL,1,No,No,0,25-48 months,1.37,0.165,Low Risk,127.1
CUST-0059,Male,0,11,Month-to-month,Electronic check,39.75,432.75,DSL,2,Yes,Yes,1,7-12 months,3.61,0.564,Medium Risk,269.03
CUST-0060,Male,0,19,Month-to-month,Credit card (automatic),51.34,941.94,DSL,3,Yes,No,0,13-24 months,2.7,0.442,Medium Risk,272.31
CUST-0061,Male,0,42,Two year,Electronic check,74.41,3199.58,Fiber optic,3,Yes,No,0,25-48 months,1.77,0.332,Medium Risk,296.45
CUST-0062,Male,0,38,Two year,Credit card (automatic),72.98,2734.55,Fiber optic,2,No,No,0,25-48 months,1.92,0.291,Low Risk,254.85
CUST-0063,Male,0,9,Month-to-month,Mailed check,60.01,549.34,DSL,0,Yes,Yes,1,7-12 months,6.67,0.547,Medium Risk,393.91
CUST-0064,Male,1,27,Two year,Credit card (automatic),76.47,2017.34,DSL,2,No,Yes,1,25-48 months,2.83,0.239,Low Risk,219.32
CUST-0065,Male,0,23,Two year,Mailed check,71.23,1569.68,DSL,0,No,No,0,13-24 months,3.1,0.286,Low Risk,244.46
CUST-0066,Female,0,32,One year,Bank transfer (automatic),18.25,612.77,No,2,Yes,No,0,25-48 months,0.57,0.257,Low Risk,56.28
CUST-0067,Female,0,31,One year,Mailed check,64.33,1925.67,DSL,3,Yes,No,0,25-48 months,2.08,0.283,Low Risk,218.46
CUST-0068,Male,0,54,Month-to-month,Bank transfer (automatic),94.93,5376.6,Fiber optic,1,Yes,No,0,49+ months,1.76,0.436,Medium Risk,496.67
CUST-0069,Female,0,15,Month-to-month,Electronic check,80.8,1269.85,Fiber optic,3,Yes,Yes,1,13-24 months,5.39,0.675,High Risk,654.48
CUST-0070,Female,0,7,Month-to-month,Electronic check,91.36,658.31,Fiber optic,1,Yes,Yes,1,7-12 months,13.05,0.725,High Risk,794.83
CUST-0071,Female,0,37,Two year,Electronic check,85.18,3201.9,DSL,0,No,No,0,25-48 months,2.3,0.262,Low Risk,267.81
CUST-0072,Female,0,14,Month-to-month,Electronic check,70.36,992.7,DSL,3,No,No,0,13-24 months,5.03,0.554,Medium Risk,467.75
CUST-0073,Male,0,7,Month-to-month,Credit card (automatic),78.74,571.36,Fiber optic,0,No,No,0,7-12 months,11.25,0.66,High Risk,623.62
CUST-0074,Female,0,19,Month-to-month,Electronic check,90.68,1686.64,Fiber optic,2,Yes,Yes,1,13-24 months,4.77,0.662,High Risk,720.36
CUST-0075,Male,1,39,One year,Credit card (automatic),77.17,2999.9,Fiber optic,2,No,No,0,25-48 months,1.98,0.338,Medium Risk,313.0
CUST-0076,Female,0,37,Two year,Electronic check,75.36,2821.61,Fiber optic,4,No,Yes,1,25-48 months,2.04,0.355,Medium Risk,321.03
CUST-0077,Female,0,45,Month-to-month,Electronic check,49.73,2217.98,DSL,3,No,No,0,25-48 months,1.11,0.37,Medium Risk,220.8
CUST-0078,Female,0,1,Month-to-month,Bank transfer (automatic),53.45,53.06,No,2,Yes,No,0,0-6 months,53.45,0.566,Medium Risk,363.03
CUST-0079,Male,0,22,One year,Bank transfer (automatic),62.72,1356.42,Fiber optic,2,No,Yes,1,13-24 months,2.85,0.465,Medium Risk,349.98
CUST-0080,Female,0,12,Month-to-month,Mailed check,77.99,941.89,DSL,3,Yes,Yes,1,7-12 months,6.5,0.523,Medium Risk,489.47
CUST-0081,Male,0,4,Month-to-month,Bank transfer (automatic),37.5,155.26,No,2,Yes,Yes,1,0-6 months,9.38,0.543,Medium Risk,244.35
CUST-0082,Female,0,1,Month-to-month,Bank transfer (automatic),54.01,52.4,Fiber optic,2,Yes,Yes,1,0-6 months,54.01,0.71,High Risk,460.17
CUST-0083,Male,0,1,Month-to-month,Electronic check,80.51,84.01,Fiber optic,0,No,Yes,1,0-6 months,80.51,0.752,High Risk,726.52
CUST-0084,Female,0,3,Month-to-month,Credit card (automatic),43.5,132.97,Fiber optic,2,No,Yes,1,0-6 months,14.5,0.661,High Risk,345.04
CUST-0085,Male,0,36,Month-to-month,Credit card (automatic),39.38,1463.51,No,1,Yes,Yes,1,25-48 months,1.09,0.33,Medium Risk,155.94
CUST-0086,Male,0,5,Month-to-month,Bank transfer (automatic),88.28,443.88,Fiber optic,2,Yes,Yes,1,0-6 months,17.66,0.701,High Risk,742.61
CUST-0087,Female,1,49,Two year,Electronic check,46.11,2322.54,DSL,2,Yes,No,0,49+ months,0.94,0.197,Low Risk,109.0
CUST-0088,Male,0,10,Month-to-month,Bank transfer (automatic),56.85,541.0,DSL,2,Yes,No,0,7-12 months,5.68,0.541,Medium Risk,369.07
CUST-0089,Female,0,37,One year,Electronic check,59.31,2264.34,No,2,Yes,No,0,25-48 months,1.6,0.274,Low Risk,195.01
CUST-0090,Female,0,36,One year,Electronic check,47.41,1628.27,DSL,2,Yes,Yes,1,25-48 months,1.32,0.296,Low Risk,168.4
CUST-0091,Female,0,25,Month-to-month,Electronic check,59.12,1535.63,Fiber optic,2,No,No,0,25-48 months,2.36,0.619,High Risk,439.14
CUST-0092,Female,0,61,One year,Mailed check,97.22,6222.17,Fiber optic,1,Yes,No,0,49+ months,1.59,0.266,Low Risk,310.33
CUST-0093,Female,0,5,Month-to-month,Credit card (automatic),104.44,511.45,Fiber optic,2,Yes,Yes,1,0-6 months,20.89,0.671,High Risk,840.95
CUST-0094,Female,0,59,Two year,Bank transfer (automatic),75.06,4300.25,Fiber optic,4,Yes,Yes,1,49+ months,1.27,0.223,Low Risk,200.86
CUST-0095,Female,0,52,Month-to-month,Bank transfer (automatic),45.17,2411.17,No,0,No,Yes,1,49+ months,0.87,0.291,Low Risk,157.73
CUST-0096,Female,0,40,Month-to-month,Mailed check,75.12,2930.59,DSL,0,No,Yes,1,25-48 months,1.88,0.376,Medium Risk,338.94
CUST-0097,Female,0,9,Month-to-month,Electronic check,43.86,409.17,DSL,1,No,No,0,7-12 months,4.87,0.581,Medium Risk,305.79
CUST-0098,Female,0,43,Two year,Mailed check,47.72,1970.46,DSL,0,Yes,No,0,25-48 months,1.11,0.196,Low Risk,112.24
CUST-0099,Female,0,28,One year,Credit card (automatic),48.46,1306.13,No,3,Yes,No,0,25-48 months,1.73,0.249,Low Risk,144.8
CUST-0100,Male,0,48,One year,Electronic check,100.28,5044.08,Fiber optic,0,Yes,No,0,25-48 months,2.09,0.375,Medium Risk,451.26
CUST-0101,Male,0,12,Month-to-month,Credit card (automatic),63.44,774.51,DSL,0,No,Yes,1,7-12 months,5.29,0.5,Medium Risk,380.64
CUST-0102,Female,1,34,One year,Bank transfer (automatic),18.25,642.02,No,3,No,No,0,25-48 months,0.54,0.245,Low Risk,53.66
CUST-0103,Female,0,3,Month-to-month,Mailed check,59.81,176.28,No,1,No,No,0,0-6 months,19.94,0.552,Medium Risk,396.18
CUST-0104,Female,0,28,Two year,Bank transfer (automatic),22.04,628.01,No,2,No,No,0,25-48 months,0.79,0.232,Low Risk,61.36
CUST-0105,Female,0,7,Month-to-month,Mailed check,24.97,176.44,No,0,No,Yes,1,7-12 months,3.57,0.52,Medium Risk,155.81
CUST-0106,Female,0,34,Month-to-month,Credit card (automatic),60.14,2065.85,DSL,0,Yes,No,0,25-48 months,1.77,0.375,Medium Risk,270.63
CUST-0107,Female,0,4,Month-to-month,Credit card (automatic),98.31,400.42,Fiber optic,2,No,Yes,1,0-6 months,24.58,0.674,High Risk,795.13
CUST-0108,Female,0,1,Month-to-month,Mailed check,87.81,88.47,Fiber optic,0,Yes,Yes,1,0-6 months,87.81,0.719,High Risk,757.62
CUST-0109,Female,1,1,One year,Electronic check,36.22,35.96,No,0,Yes,No,0,0-6 months,36.22,0.465,Medium Risk,202.11
CUST-0110,Male,0,29,Month-to-month,Bank transfer (automatic),81.95,2323.3,Fiber optic,2,Yes,No,0,25-48 months,2.83,0.571,Medium Risk,561.52
CUST-0111,Female,0,50,Two year,Credit card (automatic),75.65,3884.09,Fiber optic,2,Yes,No,0,49+ months,1.51,0.238,Low Risk,216.06
CUST-0112,Male,0,32,Month-to-month,Electronic check,83.37,2594.81,Fiber optic,2,Yes,No,0,25-48 months,2.61,0.589,Medium Risk,589.26
CUST-0113,Female,0,44,One year,Bank transfer (automatic),18.25,818.45,DSL,3,Yes,No,0,25-48 months,0.41,0.222,Low Risk,48.62
CUST-0114,Female,0,26,Month-to-month,Bank transfer (automatic),70.55,1785.39,Fiber optic,2,Yes,No,0,25-48 months,2.71,0.584,Medium Risk,494.41
CUST-0115,Male,1,19,Month-to-month,Bank transfer (automatic),33.62,646.79,No,3,Yes,No,0,13-24 months,1.77,0.451,Medium Risk,181.95
CUST-0116,Female,0,17,One year,Electronic check,18.25,317.92,No,2,Yes,No,0,13-24 months,1.07,0.361,Medium Risk,79.06
CUST-0117,Male,1,2,Month-to-month,Bank transfer (automatic),60.79,118.16,DSL,1,Yes,Yes,1,0-6 months,30.4,0.592,Medium Risk,431.85
CUST-0118,Female,1,37,Month-to-month,Credit card (automatic),51.93,1836.86,DSL,3,Yes,No,0,25-48 months,1.4,0.344,Medium Risk,214.37
CUST-0119,Female,0,21,Two year,Electronic check,81.33,1644.9,DSL,1,Yes,No,0,13-24 months,3.87,0.334,Medium Risk,325.97
CUST-0120,Male,0,52,Two year,Electronic check,98.6,5181.55,Fiber optic,1,No,No,0,49+ months,1.9,0.298,Low Risk,352.59
CUST-0121,Female,0,9,Month-to-month,Credit card (automatic),23.01,214.33,No,0,No,Yes,1,7-12 months,2.56,0.478,Medium Risk,131.99
CUST-0122,Male,0,1,Month-to-month,Electronic check,52.74,50.34,DSL,1,No,Yes,1,0-6 months,52.74,0.628,High Risk,397.45
CUST-0123,Female,0,34,One year,Credit card (automatic),73.89,2571.08,Fiber optic,1,No,Yes,1,25-48 months,2.17,0.367,Medium Risk,325.41
CUST-0124,Male,0,1,Month-to-month,Mailed check,23.23,22.86,No,3,Yes,No,0,0-6 months,23.23,0.541,Medium Risk,150.81
CUST-0125,Male,0,9,Month-to-month,Electronic check,77.93,699.86,Fiber optic,0,No,Yes,1,7-12 months,8.66,0.715,High Risk,668.64
CUST-0126,Female,0,13,Month-to-month,Credit card (automatic),63.63,862.66,Fiber optic,1,Yes,Yes,1,13-24 months,4.89,0.619,High Risk,472.64
CUST-0127,Female,1,24,One year,Mailed check,58.04,1369.55,Fiber optic,1,Yes,No,0,13-24 months,2.42,0.446,Medium Risk,310.63
CUST-0128,Male,0,21,One year,Mailed check,84.34,1765.0,Fiber optic,1,No,Yes,1,13-24 months,4.02,0.473,Medium Risk,478.71
CUST-0129,Female,0,6,Month-to-month,Mailed check,64.44,367.84,DSL,1,Yes,Yes,1,0-6 months,10.74,0.561,Medium Risk,433.81
CUST-0130,Female,0,4,Month-to-month,Bank transfer (automatic),62.94,241.23,Fiber optic,1,No,Yes,1,0-6 months,15.74,0.701,High Risk,529.45
CUST-0131,Female,0,1,Month-to-month,Electronic check,88.43,86.3,Fiber optic,0,No,No,0,0-6 months,88.43,0.754,High Risk,800.11
CUST-0132,Male,0,17,One year,Mailed check,20.53,332.53,No,1,No,No,0,13-24 months,1.21,0.324,Medium Risk,79.82
CUST-0133,Male,0,23,Month-to-month,Credit card (automatic),78.8,1836.21,Fiber optic,2,No,No,0,13-24 months,3.43,0.564,Medium Risk,533.32
CUST-0134,Male,1,61,Month-to-month,Electronic check,87.31,5286.71,Fiber optic,2,Yes,Yes,1,49+ months,1.43,0.424,Medium Risk,444.23
CUST-0135,Male,0,58,Two year,Bank transfer (automatic),54.5,3176.22,DSL,0,Yes,No,0,49+ months,0.94,0.153,Low Risk,100.06
CUST-0136,Male,0,24,Month-to-month,Electronic check,81.82,1899.79,Fiber optic,1,Yes,Yes,1,13-24 months,3.41,0.637,High Risk,625.43
CUST-0137,Male,0,16,One year,Bank transfer (automatic),47.25,740.57,DSL,6,Yes,Yes,1,13-24 months,2.95,0.35,Medium Risk,198.45
CUST-0138,Male,0,33,Month-to-month,Electronic check,52.05,1745.79,DSL,1,No,Yes,1,25-48 months,1.58,0.446,Medium Risk,278.57
CUST-0139,Male,0,9,Month-to-month,Credit card (automatic),71.91,677.3,Fiber optic,1,No,No,0,7-12 months,7.99,0.643,High Risk,554.86
CUST-0140,Male,0,6,Month-to-month,Mailed check,18.8,107.73,No,1,No,Yes,1,0-6 months,3.13,0.519,Medium Risk,117.09
CUST-0141,Female,1,44,One year,Electronic check,52.35,2393.32,DSL,1,Yes,No,0,25-48 months,1.19,0.263,Low Risk,165.22
CUST-0142,Male,0,33,Two year,Electronic check,51.77,1721.54,Fiber optic,1,Yes,Yes,1,25-48 months,1.57,0.381,Medium Risk,236.69
CUST-0143,Female,0,41,Two year,Electronic check,22.63,933.76,No,3,Yes,No,0,25-48 months,0.55,0.202,Low Risk,54.86
CUST-0144,Female,0,8,Month-to-month,Mailed check,50.73,405.85,DSL,1,Yes,No,0,7-12 months,6.34,0.545,Medium Risk,331.77
CUST-0145,Female,0,35,One year,Electronic check,71.16,2383.35,Fiber optic,1,No,No,0,25-48 months,2.03,0.433,Medium Risk,369.75
CUST-0146,Male,1,41,Month-to-month,Credit card (automatic),71.38,2806.55,Fiber optic,0,Yes,No,0,25-48 months,1.74,0.467,Medium Risk,400.01
CUST-0147,Male,1,29,Month-to-month,Mailed check,74.07,2169.71,Fiber optic,3,Yes,Yes,1,25-48 months,2.55,0.554,Medium Risk,492.42
CUST-0148,Male,0,69,Two year,Electronic check,62.19,4222.86,DSL,0,Yes,No,0,49+ months,0.9,0.141,Low Risk,105.23
CUST-0149,Male,0,19,Month-to-month,Bank transfer (automatic),88.12,1744.14,Fiber optic,0,No,No,0,13-24 months,4.64,0.637,High Risk,673.59
CUST-0150,Female,0,1,Month-to-month,Bank transfer (automatic),65.25,64.64,Fiber optic,2,No,Yes,1,0-6 months,65.25,0.713,High Risk,558.28
CUST-0151,Male,0,14,Month-to-month,Electronic check,56.95,768.86,Fiber optic,1,Yes,Yes,1,13-24 months,4.07,0.68,High Risk,464.71
CUST-0152,Male,1,22,Month-to-month,Electronic check,39.37,884.74,DSL,3,Yes,No,0,13-24 months,1.79,0.496,Medium Risk,234.33
CUST-0153,Male,0,3,Month-to-month,Electronic check,67.69,198.87,Fiber optic,1,Yes,No,0,0-6 months,22.56,0.736,High Risk,597.84
CUST-0154,Male,0,9,One year,Bank transfer (automatic),49.72,448.62,DSL,0,Yes,No,0,7-12 months,5.52,0.414,Medium Risk,247.01
CUST-0155,Male,0,27,Month-to-month,Bank transfer (automatic),63.45,1747.04,Fiber optic,5,No,Yes,1,25-48 months,2.35,0.563,Medium Risk,428.67
CUST-0156,Female,1,56,Two year,Mailed check,35.56,2071.07,DSL,1,No,No,0,49+ months,0.64,0.148,Low Risk,63.15
CUST-0157,Male,0,49,Two year,Credit card (automatic),23.16,1168.0,No,2,Yes,No,0,49+ months,0.47,0.136,Low Risk,37.8
CUST-0158,Female,0,1,Month-to-month,Credit card (automatic),77.72,79.09,Fiber optic,2,Yes,Yes,1,0-6 months,77.72,0.683,High Risk,636.99
CUST-0159,Male,1,5,Month-to-month,Bank transfer (automatic),63.93,325.39,DSL,0,No,Yes,1,0-6 months,12.79,0.581,Medium Risk,445.72
CUST-0160,Female,0,16,Month-to-month,Credit card (automatic),46.64,779.52,DSL,0,Yes,Yes,1,13-24 months,2.92,0.471,Medium Risk,263.61
CUST-0161,Male,0,42,One year,Electronic check,48.81,2008.16,DSL,1,No,No,0,25-48 months,1.16,0.271,Low Risk,158.73
CUST-0162,Male,1,25,Month-to-month,Electronic check,18.25,433.49,No,3,Yes,Yes,1,25-48 months,0.73,0.446,Medium Risk,97.67
CUST-0163,Female,1,18,One year,Electronic check,29.53,519.42,No,1,Yes,No,0,13-24 months,1.64,0.363,Medium Risk,128.63
CUST-0164,Female,0,1,Month-to-month,Electronic check,62.27,60.51,Fiber optic,2,Yes,Yes,1,0-6 months,62.27,0.74,High Risk,552.96
CUST-0165,Female,0,53,One year,Mailed check,83.6,4502.51,Fiber optic,0,Yes,No,0,49+ months,1.58,0.303,Medium Risk,303.97
CUST-0166,Male,0,8,Month-to-month,Credit card (automatic),48.21,390.84,Fiber optic,2,No,Yes,1,7-12 months,6.03,0.637,High Risk,368.52
CUST-0167,Female,0,48,Month-to-month,Electronic check,24.61,1192.32,No,0,Yes,No,0,25-48 months,0.51,0.335,Medium Risk,98.93
CUST-0168,Male,0,72,Two year,Electronic check,79.52,5448.47,Fiber optic,1,Yes,No,0,49+ months,1.1,0.206,Low Risk,196.57
CUST-0169,Male,0,56,Two year,Mailed check,77.76,4454.18,Fiber optic,0,Yes,No,0,49+ months,1.39,0.241,Low Risk,224.88
CUST-0170,Female,0,22,Month-to-month,Credit card (automatic),115.4,2494.0,Fiber optic,1,Yes,No,0,13-24 months,5.25,0.587,Medium Risk,812.88
CUST-0171,Female,0,61,Two year,Electronic check,80.25,4976.05,Fiber optic,1,Yes,No,0,49+ months,1.32,0.251,Low Risk,241.71
CUST-0172,Male,0,11,Month-to-month,Mailed check,39.94,441.83,DSL,0,Yes,No,0,7-12 months,3.63,0.528,Medium Risk,253.06
CUST-0173,Male,0,51,Two year,Electronic check,73.57,3693.06,Fiber optic,1,No,Yes,1,49+ months,1.44,0.295,Low Risk,260.44
CUST-0174,Female,0,55,Two year,Electronic check,48.36,2562.6,Fiber optic,1,Yes,No,0,49+ months,0.88,0.269,Low Risk,156.11
CUST-0175,Female,0,23,Month-to-month,Credit card (automatic),73.79,1628.34,Fiber optic,1,Yes,Yes,1,13-24 months,3.21,0.567,Medium Risk,502.07
CUST-0176,Female,0,35,Month-to-month,Credit card (automatic),42.5,1536.81,DSL,2,No,No,0,25-48 months,1.21,0.355,Medium Risk,181.05
CUST-0177,Male,0,5,Month-to-month,Electronic check,88.73,462.21,Fiber optic,1,Yes,Yes,1,0-6 months,17.75,0.733,High Risk,780.47
CUST-0178,Male,1,23,One year,Credit card (automatic),66.76,1558.48,Fiber optic,3,No,No,0,13-24 months,2.9,0.417,Medium Risk,334.07
CUST-0179,Male,0,36,One year,Bank transfer (automatic),73.25,2532.43,Fiber optic,1,Yes,No,0,25-48 months,2.03,0.394,Medium Risk,346.33
CUST-0180,Male,0,7,Month-to-month,Credit card (automatic),45.47,315.17,DSL,0,No,No,0,7-12 months,6.5,0.523,Medium Risk,285.37
CUST-0181,Male,0,7,Month-to-month,Mailed check,101.08,723.76,Fiber optic,2,No,Yes,1,7-12 months,14.44,0.686,High Risk,832.09
CUST-0182,Male,0,63,Two year,Mailed check,70.18,4545.06,Fiber optic,3,No,Yes,1,49+ months,1.11,0.203,Low Risk,170.96
CUST-0183,Female,0,62,Two year,Mailed check,102.49,6111.78,Fiber optic,2,No,No,0,49+ months,1.65,0.217,Low Risk,266.88
